title,description,link,type
Khan Academy,"A wide variety of courses for all ages. Courses include exercises, quizzes, and tests. Currently providing daily schedules and remote learning resources.",https://www.slcl.org/resources/khan-academy,Website
Kids Numbers,Covers concepts from addition to algebra.,https://www.slcl.org/resources/kids-numbers,Website
Kidszone,Math games and a tool for making graphs.,https://www.slcl.org/resources/kidszone,Website
Large Hearted Boy,This music and literature website includes a large compendium of “best of the year” lists from large media outlets to small blogs.,https://www.slcl.org/resources/large-hearted-boy,Website
LawDepot,"Explore LawDepot's library of easy-to-use templates to create personalized legal forms for nearly every aspect of life and business, tailored to your state or province and personal situation.",https://www.slcl.org/resources/lawdepot,Subscription Database
Learner.org,Multimedia resources for classroom instruction and teacher professional development. Materials cover all subjects for kindergarten through 12th grade.,https://www.slcl.org/resources/learner-org,Website
LearningExpress Library,"Access to practice tests and online mini-courses to help students, recent immigrants, and job seekers. Available practice tests include the S.A.T., A.C.T., Advanced Placement, G.R.E., Civil Service, Citizenship Exam, TOEFL, and many more.",https://www.slcl.org/resources/learningexpress-library,
Leftovers etc.,"A recycle/reuse/repurpose nonprofit resource center that serves local educators, including homeschoolers, by providing them with resources for crafts and projects.",https://www.slcl.org/resources/leftovers-etc,Website
Lester S. Levy Collection,"Sheet music collection consisting of over 29,000 pieces of American popular music, spanning the years 1780 to 1980.",https://www.slcl.org/resources/lester-s-levy-collection,Website
Lexia Core5 Reading (Grades Pre-K-5),"Supports learners in grades Pre-K–5 by developing foundational literacy skills. Lexia Learning provides personalized, adaptive instruction to help learners build critical reading and literacy skills at every level. Through interactive lessons and targeted practice, learners strengthen abilities such as: phonological awareness and phonics, vocabulary development, decoding and spelling, grammar and written communication, reading fluency, and comprehension and higher-order thinking.",https://www.slcl.org/resources/lexia/core5-reading,Subscription Database
Lexia PowerUp Literacy (Grades 6-12),"Helps learners in grades 6–12 close reading gaps and advance their literacy skills for academic and career success. Lexia Learning provides personalized, adaptive instruction to help learners build critical reading and literacy skills at every level. Through interactive lessons and targeted practice, learners strengthen abilities such as: phonological awareness and phonics, vocabulary development, decoding and spelling, grammar and written communication, reading fluency, and comprehension and higher-order thinking.",https://www.slcl.org/resources/lexia/powerup-literacy,Subscription Database
Libby by OverDrive,"Libby is a mobile app from OverDrive featuring eBooks, magazines and audiobooks.",https://www.slcl.org/resources/libby,
Library & Archives of Canada: Canadian Genealogy Centre,"Library and Archives Canada (LAC) combines the holdings, services and staff of both the former National Library of Canada and the National Archives of Canada.",https://www.slcl.org/resources/library-archives-canada-canadian-genealogy-centre,Website
Library Literature & Information Science Full Text,"Indexes and abstracts library and information science periodicals, monographs, selected state library journals, conference proceedings, library school theses, and pamphlets. [H.W. Wilson]",https://www.slcl.org/resources/library-literature-information-science-full-text,Subscription Database
Library of Congress,"Digital collections of historical items and manuscripts, including Chronicling America for newspapers 1789-1963.",https://www.slcl.org/resources/library-congress,Website
Library of Congress American Sheet Music Collection,"Music for the Nation: American Sheet Music, 1870-1885 consists of over 47,000 pieces of sheet music registered for copyright during the years 1870 to 1885.",https://www.slcl.org/resources/library-congress-american-sheet-music-collection,Website
LibriVox,"Unlimited access to over 40,000 public domain audiobooks which can be streamed over the internet or downloaded for later use.",https://www.slcl.org/resources/librivox,Website
LII [Decisions of the U.S. Supreme Court] (From Cornell University),Site provides full-text opinions and not full text of opinions of the court issued since May of 1990 and has an archive of historic Supreme Court Decisions. [From Cornell University],https://www.slcl.org/resources/lii-decisions-us-supreme-court,Website
LinkedIn Learning,"Access thousands of self-paced online courses and tutorials in over 10 languages to help you learn about leadership, career searching, software, marketing, and many other skills essential to the job market.",https://www.slcl.org/resources/linkedin-learning,
LISTA,"LISTA (Library, Information Science & Technology Abstracts) covers magazine articles, books entries, reports, and proceedings addressing subjects in library and information science. [EBSCOhost]",https://www.slcl.org/resources/lista,Subscription Database
Lit Lovers,"The site contains information about starting and running a book discussion club, reading guides, book reviews and free courses to help you get more out of your reading.",https://www.slcl.org/resources/lit-lovers,Website
LivePlan (formerly bPlans),Links to over 500 free sample business plans.,https://www.slcl.org/resources/liveplan,Website
LOTE4Kids,Allows kids to learn a language and connect with books through the magic of storytelling.,https://www.slcl.org/resources/lote4kids,Subscription Database
Mango Languages,Learn a new language online. Access to 60+ foreign language courses and 17 English courses taught completely in the user's native language.,https://www.slcl.org/resources/mango-languages,
MAS Ultra - School Edition,"Full-text database for popular high school magazines covering a wide range of subject areas including history, science, careers and more.",https://www.slcl.org/resources/mas-ultra-school-edition,Subscription Database
MasterFILE Premier,"Full text access to periodicals covering a variety of topics. Includes content taken from reference books, biographies, primary source documents, and an image collection of over a 100,000 photos, maps, and flags. [EBSCO]",https://www.slcl.org/resources/masterfile-premier,Subscription Database
Math Games,Find math games and worksheets for students in kindergarten through 8th grade.,https://www.slcl.org/resources/math-games,Website
MEDLINE,"Authoritative medical database containing citations and abstracts for biomedical and health journals used by healthcare professionals, nurses, clinicians and researchers.",https://www.slcl.org/resources/medline,Subscription Database
MedlinePlus,"This consumer health resource from the National Library of Medicine provides information about health and wellness topics. Medline Plus is a good website to use as a starting point for health-related questions and includes information on health, drugs, supplements, encyclopedia and dictionary entries, and videos. Available in Spanish.",https://www.slcl.org/resources/medlineplus,Website
Merck Manual - Consumers,"This website provides the standard in-home medical encyclopedia online. Find images, symptoms and signs, diagnoses, treatment, and prevention options for many types of medical concerns.",https://www.slcl.org/resources/merck-manual-consumers,Website
Merck Manual - Professional,"The website provides you with thousands of medical topics and chapters. Find images, symptoms and signs, diagnoses, treatment, and prevention options for many types of medical concerns.",https://www.slcl.org/resources/merck-manual-professional,Website
MetKids,A fun interactive site featuring works from the Metropolitan Museum of Art.,https://www.slcl.org/resources/metkids,Website
Metric Conversions,Formulas on how to convert from metric to U.S. standard units.,https://www.slcl.org/resources/metric-conversions,Website
Middle Search Plus,"Full-text database providing popular middle school magazines and reference books covering subjects such as history, current events, science and sports.",https://www.slcl.org/resources/middle-search-plus,Subscription Database
Missouri,"Learn about the history of Missouri, its symbols, and its government through the informative facts. [Missouri Secretary of State]",https://www.slcl.org/resources/missouri,Website
Missouri Census Data Center,"Includes census data from 2000 to 2010. Look for population estimates, health statistics, income data, poverty figures and more.",https://www.slcl.org/resources/missouri-census-data-center,Website
Missouri County Records on Microfilm,A roll-by-roll listing of county records on microfilm held by the Missouri State Archives.,https://www.slcl.org/resources/missouri-county-records-microfilm,Website
Missouri Death Certificate Database,Copies of death certificates issued beginning 1910 and that are at least 50 years old can be downloaded from this site. [Missouri State Archives],https://www.slcl.org/resources/missouri-death-certificate-database,Website
Missouri Department of Conservation - Endangered Species,More than 735 kinds of plants and 410 different animals in Missouri are of concern to conservationists because they are uncommon or because their numbers are low or declining. Learn about them at the Missouri Department of Conservation.,https://www.slcl.org/resources/missouri-department-conservation-endangered-species,Website
Missouri Department of Elementary and Secondary Education,"The department does not regulate or monitor home schooling. There is no registration required with the state. There is no program for the inspection, approval, or accreditation of home schools in Missouri.",https://www.slcl.org/resources/missouri-department-elementary-and-secondary-education,Website
Missouri Digital Equity,"Provides access to resources about technology, how to be safe and secure with it and understanding how to evaluate information found online.",https://www.slcl.org/resources/missouri-digital-equity,Website
Missouri Digital Heritage,Access a rich archive of information about the history of Missouri and local communities. Included are educational resources like classroom curricula accessible through this website.,https://www.slcl.org/resources/missouri-digital-heritage,Subscription Database
Missouri Division of Employment Security,The Division of Employment Security is responsible for the administration of the unemployment insurance benefit and tax program.,https://www.slcl.org/resources/missouri-division-employment-security,Website
Missouri Division of Professional Registration,Search for a physician licensed to practice in Missouri.,https://www.slcl.org/resources/missouri-division-professional-registration,Website
Missouri Historical Society Library and Research Center,"The Missouri History Museum Library holds over 90,000 books, periodicals, newspapers, maps, and microfilms.",https://www.slcl.org/resources/missouri-historical-society-library-and-research-center,Website
Missouri Secretary of State - Corporation/Business Forms,Provides access to corporation/business entity forms. The listing is broken into categories.,https://www.slcl.org/resources/mo-secretary-of-state-corp-business-forms,Website
Missouri Small Business Development Centers,Provides business training and guidance to new and existing businesses.,https://www.slcl.org/resources/missouri-small-business-development-centers,Website
Missouri Small Business Startup Guide,"Site includes information on starting and managing a business, doing business in Missouri, financial information, business licensing and registration, and more.",https://www.slcl.org/resources/missouri-small-business-startup-guide,Website
Missouri State Agency Databases,"Annotated list of databases produced by Missouri state government departments, divisions, or agencies. [GODORT]",https://www.slcl.org/resources/missouri-state-agency-databases,Website
"Missouri Tax Forms, Instructions and Manuals",Links to all Missouri tax forms and instructions.,https://www.slcl.org/resources/missouri-tax-forms,Website
Missouri's Judicial Records,"Includes indexes and images for St. Louis County Probate Court (1804-1876) and St. Louis City Probate Court (1876-1900, separated from county in 1876). [Missouri State Archives]",https://www.slcl.org/resources/missouri-judicial-records,Website
MissouriBusiness.net - Licenses and Registration Checklist,"Provides a checklist as a guide to ensure you operate your business in compliance with federal, state, and local governments.",https://www.slcl.org/resources/missouribusinessnet-licenses-and-registration-checklist,Website
MO.gov,"Official Missouri State website serving as portal to the state's online services, agencies, news, data and other Missouri resources.",https://www.slcl.org/resources/mo-gov,Website
Morningstar Investment Research Center,"Search over 30,000 stocks, mutual funds, and ETFs to determine where to invest your money.",https://www.slcl.org/resources/morningstar-investment-research-center,Subscription Database
Municipal Codes,Allows access and searching of municipal codes throughout the United States.,https://www.slcl.org/resources/municipal-codes,Website
Municode,Links to municipal codes from all 50 states.,https://www.slcl.org/resources/municode,Website
Music Planet,"Audio clips of music around the world, including live sessions and a podcast.",https://www.slcl.org/resources/music-planet,Website
Musical Explorers,Access free musical exploration programs from Carnegie Hall. Includes professional development resources and lesson plans for educators.,https://www.slcl.org/resources/musical-explorers,Website
Mutopia Projects,The Mutopia Project offers sheet music editions of classical music for free download.,https://www.slcl.org/resources/mutopia-projects,Website
MyHeritage (Available in History & Genealogy only - see librarian),"Access historical documents, photos, and other resources that span the past five centuries from the US, Europe, Latin America, and other areas.  Library card required to use.",https://www.slcl.org/resources/myheritage-library-edition,Subscription Database
Mystery Science,Currently are offering several free science lessons to the public and limited free memberships for teachers.,https://www.slcl.org/resources/mystery-science,Website
Mythopoeic Awards,"The Mythopoeic Awards are chosen from books nominated by individual members of the Mythopoeic Society, and selected by a committee of Society members.",https://www.slcl.org/resources/mythopoeic-awards,Website
NASA STEM Engagement,"Access NASA's engineering activities, online games, and videos.",https://www.slcl.org/resources/nasa-stem-engagement,Website
National Archives Resources for Genealogists,National Archives resources for genealogists and family historians.,https://www.slcl.org/resources/national-archives-resources-for-genealogists,Website
National Book Awards,"This award recognizes authors who have written outstanding work in the categories of Fiction, Nonfiction, Poetry and Young People’s Literature.",https://www.slcl.org/resources/national-book-awards,Website
National Center for Families Learning Free Resources,"Access free resources for literacy, early childhood, English learners, K-12 reading, and more from the National Center for Families Learning.",https://www.slcl.org/resources/national-center-families-learning-free-resources,Website
National Gallery of Art Education,"Access online lessons, activities, and interactives to bring art to your learning setting.",https://www.slcl.org/resources/national-gallery-art-education,Website
National Genealogical Society,"The non-profit organization provides education, training, and standards for anyone interested in genealogical research.",https://www.slcl.org/resources/national-genealogical-society,Website
National Geographic Classroom,"Includes a variety of educational resources for all grades, including curated collections for kindergarten through 12th grade.",https://www.slcl.org/resources/national-geographic-classroom,Website
National Geographic Kids,"Videos, games, homework help, and more from National Geographic, with a STEM focus.",https://www.slcl.org/resources/national-geographic-kids,Website
National Historical Geographic Information System,"Provides census data including population, housing, agriculture and economic data for each of the states, counties, tracts and blocks from 1790-2010.",https://www.slcl.org/resources/national-historical-geographic-information-system,Website
National Map,A collection of small-scale data-sets of 197 maps provided by the U.S. Department of the Interior and U.S. Geological Survey.,https://www.slcl.org/resources/national-map,Website
National Union Catalog of Manuscript Collections,Online catalog allows users to search for archival and manuscript materials held by archives and other repositories across the U.S. [Library of Congress],https://www.slcl.org/resources/national-union-catalog-manuscript-collections,Website
Nebula Awards,"Recognize the best works of science fiction or fantasy published in the United States, awarded by the Science Fiction and Fantasy Writers of America (SFWA).",https://www.slcl.org/resources/nebula-awards,Website
NeoK12,"A collection of the best educational videos, games, quizzes, diagrams and puzzles in a variety of subjects.",https://www.slcl.org/resources/neok12,Website
New York Times Best Sellers,See weekly sales for books sold in print and electronic formats.,https://www.slcl.org/resources/new-york-times-best-sellers,Website
New York Times Cooking,A digital cookbook and cooking guide that helps home cooks discover the world’s best recipes and become better cooks. (nytimes.com),https://www.slcl.org/resources/new-york-times-cooking,Subscription Database
New York Times Games,"New York Times Games includes Wordle, daily crossword and crossword mini, Spelling Bee, Sudoku, and more. (nytimes.com)",https://www.slcl.org/resources/new-york-times-games,Subscription Database
New York Times Online,"New York Times Online (NYTimes.com) provides free access to the New York Times and International New York Times content, including breaking news articles, reviews, blogs, videos, and more. There are two different ways to access NYTimes.com depending on if you are inside or outside the Library. For both onsite or offsite access, you need to sign up for a free account using a valid email address.",https://www.slcl.org/resources/new-york-times-online,Subscription Database
News For You,Easy to read and understand news and human interest stories for adult ESL students and struggling readers.,https://www.slcl.org/resources/news-for-you,Subscription Database
NewsBank,"Searchable full text and index of many U.S. and international newspapers, including print and online-only resources.",https://www.slcl.org/resources/newsbank,Subscription Database
Newspaper Source,"Cover-to-cover full-text for hundreds of national, international and regional newspapers as well as television and radio news transcripts from major networks.",https://www.slcl.org/resources/newspaper-source,Subscription Database
NewspaperARCHIVE.com,Newspaper Archive is a large historical newspaper database containing tens of millions of newspaper pages from 1759 to present.,https://www.slcl.org/resources/newspaperarchivecom,Subscription Database
Newspapers.com,"Database offering more than 10,000 digitized newspaper titles for the U.S., Canada, Australia, Ireland, the British Isles and Panama.",https://www.slcl.org/resources/newspapers-com,Subscription Database
Niche Academy Video Tutorials,"Collection of how-to video tutorials to learn how to use the Library's research databases, eMedia, and social media.",https://www.slcl.org/resources/niche-academy-video-tutorials,Subscription Database
Nine PBS Educator and Caregiver Toolkit,"A collection of free, readily available trusted resources for our region’s educators, caregivers, and parents.",https://www.slcl.org/resources/nine-pbs-educator-and-caregiver-toolkit,Website
Nineteenth Century U.S. Newspapers,Primary source 19th century newspaper content from urban and rural region newspapers throughout the U.S.,https://www.slcl.org/resources/nineteenth-century-us-newspapers,Subscription Database
Nobel Prize in Literature,Awarded to “the person who shall have produced in the field of literature the most outstanding work in an ideal direction.”,https://www.slcl.org/resources/nobel-prize-literature,Website
North Side Journal,"Searchable full text coverage of local news and community-submitted content from North County, including births, engagements, and community events.",https://www.slcl.org/resources/north-side-journal,Subscription Database
NoveList Plus,"A searchable database of fiction and nonfiction titles with book reviews, recommended reading lists and discussion guides.",https://www.slcl.org/resources/novelist-plus,Subscription Database
NRICH Maths,"Educators can access problem sets, interactive math games, and curriculum development.",https://www.slcl.org/resources/nrich-maths,Website
Occupational Outlook Handbook,"A nationally recognized source of career information, designed to provide assistance to individuals making decisions about their future work lives.",https://www.slcl.org/resources/occupational-outlook-handbook,Website
Old Maps Online,An easy-to-use getaway to historical maps in libraries around the world.,https://www.slcl.org/resources/old-maps-online,Website
Ology,Variety of science topics for kids to explore from the American Museum of Natural History.,https://www.slcl.org/resources/ology,Website
Open Learning Initiative (OLI),Offers innovative online courses to anyone who wants to learn or teach.,https://www.slcl.org/resources/open-learning-initiative,Website
Open Library,Millions of free ebooks for checkout.,https://www.slcl.org/resources/open-library,Website
Open Yale Courses,"Free, pre-recorded courses from Yale University, plus course materials, suggested readings, exams, and problem sets.",https://www.slcl.org/resources/open-yale-courses,Website
Opposing Viewpoints,Information from many sources on popular research topics for students. [Gale in Context],https://www.slcl.org/resources/opposing-viewpoints,Subscription Database
OverDrive,"Browse, borrow, and enjoy titles from the digital collection.",https://www.slcl.org/resources/overdrive,
Parishes in the Catholic Archdiocese of St. Louis,Interactive map showing the locations of open and closed churches with brief historical data.,https://www.slcl.org/resources/parishes-catholic-archdiocese-st-louis,Website
PBS Kids for Parents,"Information, activities, and tips for parents of children ages 2-8.",https://www.slcl.org/resources/pbs-kids-parents,Website
PBS Kids Games,Educational games for children ages 2-8.,https://www.slcl.org/resources/pbs-kids-games,Website
PBS LearningMedia,"Educators can find standards-aligned videos, interactives, lesson plans, and more.",https://www.slcl.org/resources/pbs-learningmedia,Website
PBS News,News for students and teachers grades 7-12.,https://www.slcl.org/resources/pbs-news,Website
Perseus Digital Project,Free public domain digital books in a variety of languages.,https://www.slcl.org/resources/perseus-digital-project,Website
Peterson's Test and Career Prep,"Use Peterson’s Test and Career Prep to search thousands of college and graduate school entries, identify scholarships, and access online practice tests and eBooks for exam preparation. This resource also provides career tools, resume builders, and study guides for exams like SAT, ACT, GRE, NCLEX, and more. [Gale]",https://www.slcl.org/resources/petersons-test-and-career-prep,Subscription Database
Presidents,Information on all the United States presidents presented by whitehouse.gov.,https://www.slcl.org/resources/presidents,Website
Primary Search,"Popular children’s magazines, easy-to-read encyclopedic entries and a vast image collection.",https://www.slcl.org/resources/primary-search,Subscription Database
Prix Aurora Awards,"Like the Peoples Choice awards for Science Fiction, Fantasy and Horror, except just for Canadians.",https://www.slcl.org/resources/prix-aurora-awards,Website
Professional Development Collection,Highly specialized database of full-text electronic information.,https://www.slcl.org/resources/professional-development-collection,Subscription Database
Project Gutenburg,"Free digital books in the public domain, including many popular classics.",https://www.slcl.org/resources/project-gutenburg,Website
ProQuest Global Newsstream,"Global Newsstream enables users to search the most recent global news, and has one of the largest collections of news from the US, Canada, Europe, Africa, Asia, Latin America, and Australia.",https://www.slcl.org/resources/proquest-global-newsstream,Subscription Database
ProQuest US Newsstream,"Full text access to the Chicago Tribune, Christian Science Monitor, New York Times, St. Louis Post–Dispatch, Wall Street Journal, Washington Post, USA Today and more.",https://www.slcl.org/resources/proquest-us-newsstream,Subscription Database
PubChem,PubChem is the world's largest collection of freely accessible chemical information.,https://www.slcl.org/resources/pubchem,Website
Public Health Reports,The official journal of the Office of the U.S. Surgeon General and the U.S. Public Health Service. [Office of the U.S. Surgeon General],https://www.slcl.org/resources/public-health-reports,Website
Public Laws,"A searchable database of the laws enacted by the 104th, 105th, 106th, 107th and 108th Congresses.",https://www.slcl.org/resources/public-laws,Website
Public Papers of the Presidents of the United States,"Access to Presidential writings, addresses, and remarks.",https://www.slcl.org/resources/public-papers-presidents-united-states,Website
Public Viewing Documents,List of Public Viewing Documents available at certain St. Louis County Library branches.,https://www.slcl.org/resources/public-viewing-documents,Website
Publishers Weekly,This website lists top best sellers in a variety of categories.,https://www.slcl.org/resources/publishers-weekly,Website
PubMed,"Citations for biomedical research from MEDLINE, life science journals, and online books.",https://www.slcl.org/resources/pubmed,Website
Pulitzer Prize Winners,"Award given in the categories of investigative reporting, editorial writing, fiction, drama and more.",https://www.slcl.org/resources/pulitzer-prize-winners,Website
Purchasing Energy Efficient Appliances and Electronics,Save money and energy at home by choosing energy efficient appliances and electronics and reducing the amount you use them.,https://www.slcl.org/resources/purchasing-energy-efficient-appliances-and-electronics,Website
Qikan,"Collection of Chinese language journals appealing to adults, teens, and children.",https://www.slcl.org/resources/qikan,Subscription Database
Quizlet,"Interactive and customizable study tools for students, including flashcards, interactive games, and quizzes.",https://www.slcl.org/resources/quizlet,Website
Random House Resources for Educators and Parents,"Free resources for teaching remotely and homeschooling, including discussion guides, activities, and more.",https://www.slcl.org/resources/random-house-resources,Website
Read It!,For middle and high school students and adults who have a basic foundation in English grammar and reading but need adapted reading material for a variety of subjects.,https://www.slcl.org/resources/read-it,Subscription Database
Read West Foundation,"Preserves and promotes literature in the Western genre through programs, project, newsletters and awards.",https://www.slcl.org/resources/read-west-foundation,Website
Reading Group Choices,"Tips on starting and running a book group, as well as discussion questions for a range of titles.",https://www.slcl.org/resources/reading-group-choices,Website
Reading Group Guides,"Find thousands of book guides, tips for discussion group leaders, a blog, a newsletter, and contests.",https://www.slcl.org/resources/reading-group-guides,Website
ReadWriteThink,"Access free materials for reading and language arts, including lesson plans, project ideas, student interactives, and printouts.",https://www.slcl.org/resources/readwritethink,Website
Reference Solutions,"Directory with millions of listings for businesses, residents, new movers, and consumers across the U.S.",https://www.slcl.org/resources/reference-solutions,Subscription Database
Salem Health,"Online access to Magill’s Medical Guide, Salem Health: Cancer, and Salem Health: Psychology and Mental Health.",https://www.slcl.org/resources/salem-health,Subscription Database
Salem History,"Online access to Great Athletes, Decades: 1960s in America, Great Events: Ancient World, and Great Lives: Ancient World.",https://www.slcl.org/resources/salem-history,Subscription Database
Salem Literature,Online access to Magill's Literary Annuals.,https://www.slcl.org/resources/salem-literature,Subscription Database
Salem Science,Online access to The Solar System.,https://www.slcl.org/resources/salem-science,Subscription Database
SAMS Photofact Online,Offers repair manuals and schematics for electronics.,https://www.slcl.org/resources/sams-photofact-online,Subscription Database
SBDCNet,"Find links to market research, articles on a variety of business help topics, and archived webinars.",https://www.slcl.org/resources/sbdcnet,Website
Scholastic Teachables,Thousands of searchable and printable educational materials for Pre-K through 8th grade.,https://www.slcl.org/resources/scholastic-teachables,Subscription Database
Science Bob,"Find instructions for science experiments to do at home, science fair ideas, and educational videos.",https://www.slcl.org/resources/science-bob,Website
Science Fair Resources,"Provides science fair project ideas, guides and more.",https://www.slcl.org/resources/science-fair-resources,Website
Science Fiction Awards Database,Find the best in the Science Fiction and Fantasy genres.,https://www.slcl.org/resources/science-fiction-awards-database,Website
Science Reference Source,"Contains full-text for hundreds of science magazines, journals, encyclopedias, reference books, videos, animations and lesson plans.",https://www.slcl.org/resources/science-reference-source,Subscription Database
Scratch,"Program your own independent interactive stories, games, and animations and share your creations with others in the online community.",https://www.slcl.org/resources/scratch,Website
Sibley Music Library Musical Scores,"Scores and books in the public domain, many unique to the Sibley Music Library collection.",https://www.slcl.org/resources/sibley-music-library-musical-scores,Website
Simply Analytics,"Web-based mapping application that lets users create professional-quality thematic maps and reports using demographic, business, health, and marketing data.",https://www.slcl.org/resources/simply-analytics,Subscription Database
"Slavery in America and the World: History, Culture, and Law (HeinOnline)",Brings together a multitude of essential legal materials on slavery in the United States and the English-speaking world. [HeinOnline],https://www.slcl.org/resources/slavery-in-america-and-the-world,Subscription Database
Small Business Source,"Online access to NOLO ebook titles such as The Employer's Legal Handbook, Complete Guide to Selling a Business, Every Nonprofit's Tax Guide, Working With Independent Contractors, and more.",https://www.slcl.org/resources/small-business-source,Subscription Database
Small Engine Repair Source,"Repair and maintenance information for small engines such as motorcycles, boats and lawn mowers.",https://www.slcl.org/resources/small-engine-repair-source,Subscription Database
Smithsonian History Explorer,"Free, innovative online resources for teaching and learning American history.",https://www.slcl.org/resources/smithsonian-history-explorer,Website
Social Security Handbook,Provides access to a basic guide to Social Security Programs.,https://www.slcl.org/resources/social-security-handbook,Website
South County Journal,Searchable full text coverage of local news and community-submitted content from South County.,https://www.slcl.org/resources/south-county-journal,Subscription Database
Southwest County Journal,Searchable full text database of local news and community-submitted content from South and West St. Louis County.,https://www.slcl.org/resources/southwest-county-journal,Subscription Database
Space Place,"Fun facts, activities, videos and more—all related to space. Presented by NASA.",https://www.slcl.org/resources/space-place,Website
SplashLearn,"Personalized math curriculum with practice problems, games, and progress reports for Kindergarten through 5th grade.",https://www.slcl.org/resources/splashlearn,Website
Spur Awards,The Western Writers of America honors the best writers and works in the genre with this annual award.,https://www.slcl.org/resources/spur-awards,Website
St. Louis Art Museum,Audio tours of current and past exhibitions and collections of the St. Louis Art Museum.,https://www.slcl.org/resources/st-louis-art-museum,Website
St. Louis Business Journal Home Access,"Full digital access to all St. Louis Business Journal’s daily editorial content, the St. Louis Business Journal Weekly Edition, the Business Journal Book of Lists, and much more.",https://www.slcl.org/resources/st-louis-business-journal-home-access,Subscription Database
St. Louis County Council,"Access council members and their contact information, as well as the county charter, St. Louis County Ordinances and meeting documents.",https://www.slcl.org/resources/st-louis-county-council,Website
St. Louis County Missouri,Portal to all St. Louis County government offices and information.,https://www.slcl.org/resources/st-louis-county-missouri,Website
St. Louis County Open Data,"Provides access to a wide range of publicly available datasets and tools for residents, businesses, and researchers to explore and utilize county information.",https://www.slcl.org/resources/st-louis-county-open-data,Website
St. Louis Genealogical Society,Education and support for those doing genealogical research in St. Louis City and County.,https://www.slcl.org/resources/st-louis-genealogical-society,Website
St. Louis Globe Democrat Morgue,"An index to the more than 10,000 newspaper clippings filed by the newspaper and donated to the Mercantile Library in 1986. [Mercantile Library]",https://www.slcl.org/resources/st-louis-globe-democrat-morgue,Subscription Database
St. Louis Homeschool Network (SLHN),A support group for homeschooling families and an information source for prospective homeschoolers.,https://www.slcl.org/resources/st-louis-homeschool-network,Website
"St. Louis Homeschooling, Activities, Resources, and Encouragement (SHARE)",An organization for individuals or families interested in the concepts of educating children in the home and in providing a support group to encourage the highest standards and excellence throughout its membership.,https://www.slcl.org/resources/st-louis-homeschooling-activities-resources-and-encouragement,Website
St. Louis Post-Dispatch Collection,"Explore St. Louis history through local news, events and people with St. Louis Post-Dispatch Collection. [Newsbank]",https://www.slcl.org/resources/st-louis-post-dispatch-collection,Subscription Database
St. Louis Post-Dispatch Obituary Index,"Searchable database of names that appeared within the burial permits, funeral notices, obituary articles and fraternal notices of the St. Louis Post-Dispatch newspaper. Copies of the St. Louis Post-Dispatch are available on microfilm.",https://www.slcl.org/resources/st-louis-post-dispatch-obituary-index,Website
State Tax Forms and Filing Options,Provides links to tax forms for individual states.,https://www.slcl.org/resources/state-tax-forms-filing-options,Website
Statutes at Large (1789 – 1875),Digitized edition of laws and resolutions passed by Congress.  [Library of Congress],https://www.slcl.org/resources/statutes-large-1789-1875,Website
Steve Spangler Experiment Library,"Science experiments with instructions, videos, and explanations.",https://www.slcl.org/resources/steve-spangler-experiment-library,Website
Storyline Online,Listen to children's books read aloud by celebrities. Many come with a teacher’s guide.,https://www.slcl.org/resources/storyline-online,Website
Student Dictionary for Kids,"Dictionary written specifically for young students, thesaurus and word games.",https://www.slcl.org/resources/student-dictionary-for-kids,Website
Supreme Court Decisions,Searchable database of U.S. Supreme Court decisions since 1760.,https://www.slcl.org/resources/supreme-court-decisions,Website
Sylvia,"Inspired by Sylvia Plath's tenacity and curiosity, this growing resource of hand-selected entries identifies recent books for researchers, scholarly editions, selected memoirs, and notable works for a general audience.",https://www.slcl.org/resources/sylvia,Website
Teacher Reference Center,Indexes and abstracts teacher and administrative trade journals. [EBSCO],https://www.slcl.org/resources/teacher-reference-center,Subscription Database
TeachingBooks,Multimedia resources to explore children's and young adult books and their authors.,https://www.slcl.org/resources/teachingbooks,Subscription Database
TED Talks,A wide variety of educational videos.,https://www.slcl.org/resources/ted-talks,Website
TED-Ed,"Video lessons across a variety of topics for elementary, middle, and high school, as well as university.",https://www.slcl.org/resources/ted-ed,Website
Teen Health & Wellness,"Provides middle and high school students with up-to-date, nonjudgmental, straightforward curricular and self-help support.",https://www.slcl.org/resources/teen-health-wellness,Subscription Database
The Athletic,"The Athletic, a New York Times company, delivers in-depth sports coverage of your favorite teams and leagues. Access includes everything from breaking news and live commentary to long-form features, exclusive interviews, podcasts, and more. (nytimes.com)",https://www.slcl.org/resources/the-athletic,Subscription Database
The Booker Prizes,"Information about starting and running a book discussion club, reading guides, book reviews and free courses to help you get more out of your reading.",https://www.slcl.org/resources/the-booker-prizes,Website
The Kansas City Star Collection,Explore Kansas City history through local news.,https://www.slcl.org/resources/kansas-city-star,Subscription Database
The Telegraph Collection,"Explore Alton, IL history through local news, events and people with The Telegraph Collection. [Newsbank]",https://www.slcl.org/resources/the-telegraph-collection,Subscription Database
Time for Learning: Homeschooling in Missouri,Provides an overview of homeschooling in the State of Missouri.,https://www.slcl.org/resources/time-learning-homeschooling-missouri,Website
Tipasa (formerly WorldCat Discovery),"Search for books, ebooks, periodicals, government documents, manuscripts, maps, audiovisual materials, music scores, and collections of digital items in libraries around the World.",https://www.slcl.org/resources/tipasa,Subscription Database
